City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hambantota,LK,6.1241,81.1185,78.91,81,94,16.71,overcast clouds
80,Gazojak,TM,41.1875,61.4036,88.48,13,0,10.65,clear sky
81,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,0,8.05,clear sky
82,Bubaque,GW,11.2833,-15.8333,80.62,79,100,13.42,overcast clouds
83,Cervo,ES,43.6702,-7.4101,71.96,87,97,7.43,overcast clouds
84,Matara,LK,5.9485,80.5353,76.21,92,66,8.52,broken clouds
85,Faanui,PF,-16.4833,-151.75,77.65,60,64,21.59,broken clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,65,8.01,broken clouds
87,Cam Ranh,VN,11.9214,109.1591,80.56,89,20,1.14,few clouds
88,Saint-Philippe,RE,-21.3585,55.7679,66.22,82,59,12.53,light rain
89,Coquimbo,CL,-29.9533,-71.3436,53.33,62,75,11.5,broken clouds
90,Sechura,PE,-5.5569,-80.8222,74.35,53,0,18.39,clear sky
91,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,88,45,12.84,light rain
92,Gazanjyk,TM,39.2446,55.5154,83.86,40,0,8.03,clear sky
93,Prudy,RU,57.5738,46.2718,60.46,91,38,3.65,scattered clouds
94,Ginda,IN,30.6945,78.4932,66.18,78,12,5.01,few clouds
95,Grenada,ES,37.1882,-3.6067,88.16,27,0,0.0,clear sky
96,Avarua,CK,-21.2078,-159.775,75.25,60,75,11.5,broken clouds
97,Dunedin,NZ,-45.8742,170.5036,41.81,63,8,8.99,clear sky
98,Hermanus,ZA,-34.4187,19.2345,55.8,85,100,9.33,overcast clouds
99,Avera,US,33.194,-82.5271,91.54,40,39,5.77,scattered clouds
100,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,19.57,light rain
101,Pevek,RU,69.7008,170.3133,37.15,70,100,0.89,overcast clouds
102,Thompson,CA,55.7435,-97.8558,82.56,32,20,19.57,smoke
103,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
104,Bethel,US,41.3712,-73.414,87.19,46,41,1.99,scattered clouds
105,Hongjiang,CN,27.11,109.9956,79.63,85,100,4.88,overcast clouds
106,Teknaf,BD,20.8624,92.3058,80.13,88,89,13.58,overcast clouds
107,Chuy,UY,-33.6971,-53.4616,59.25,99,100,3.4,overcast clouds
108,Mackay,AU,-21.15,149.2,58.68,79,2,16.58,clear sky
109,Berezanka,UA,46.8526,31.388,73.96,63,69,6.51,broken clouds
110,Paamiut,GL,61.994,-49.6678,40.01,85,99,4.94,overcast clouds
111,Bang Saphan,TH,11.2126,99.5117,76.39,92,98,4.34,overcast clouds
112,Maarianhamina,AX,60.0973,19.9348,49.86,93,75,9.22,broken clouds
113,Cherskiy,RU,68.75,161.3,54.59,39,76,4.23,broken clouds
114,Victoria,HK,22.2855,114.1577,86.38,87,100,11.01,overcast clouds
115,San Bartolome De Tirajana,ES,27.9248,-15.5733,65.32,72,20,25.32,few clouds
116,Broome,US,42.2506,-75.833,84.02,35,2,5.99,clear sky
117,Fort Nelson,CA,58.8053,-122.7002,72.99,43,40,5.75,scattered clouds
118,Provideniya,RU,64.3833,-173.3,47.14,72,86,1.74,overcast clouds
119,Dikson,RU,73.5069,80.5464,47.53,72,100,7.27,overcast clouds
120,Laguna,US,38.421,-121.4238,97.02,40,0,1.99,clear sky
121,Plettenberg Bay,ZA,-34.0527,23.3716,57.94,81,100,2.75,overcast clouds
122,Cockburn Town,TC,21.4612,-71.1419,78.76,83,100,11.5,overcast clouds
123,Cidreira,BR,-30.1811,-50.2056,62.04,98,100,8.19,overcast clouds
124,Beringovskiy,RU,63.05,179.3167,47.26,76,12,7.99,few clouds
125,Ahipara,NZ,-35.1667,173.1667,53.65,70,100,8.97,overcast clouds
126,Kaitangata,NZ,-46.2817,169.8464,37.78,93,29,10.89,scattered clouds
127,Guaraniacu,BR,-25.1008,-52.8781,70.02,58,100,6.15,overcast clouds
128,Phalaborwa,ZA,-23.943,31.1411,61.88,65,21,6.24,few clouds
129,Constitucion,CL,-35.3333,-72.4167,45.5,85,100,8.93,light rain
130,Vardo,NO,70.3705,31.1107,60.78,77,0,5.75,clear sky
131,Georgetown,MY,5.4112,100.3354,83.89,93,20,0.0,few clouds
132,Fairbanks,US,64.8378,-147.7164,68.09,47,0,8.05,clear sky
133,Bilibino,RU,68.0546,166.4372,57.33,52,100,3.09,overcast clouds
134,Fomboni,KM,-12.28,43.7425,76.32,74,6,14.85,clear sky
135,Geraldton,AU,-28.7667,114.6,52.21,93,75,9.22,broken clouds
136,Kabinda,CD,-6.1333,24.4833,80.2,30,100,3.22,overcast clouds
137,Berlevag,NO,70.8578,29.0864,69.6,72,55,2.3,broken clouds
138,Cubara,CO,7.0008,-72.1085,80.69,80,60,2.06,broken clouds
139,Weligama,LK,5.9667,80.4167,76.55,91,73,8.41,broken clouds
140,Tosham,IN,28.8833,75.9167,90.73,51,92,10.31,overcast clouds
141,Lebyazhye,RU,55.2689,66.4947,67.21,95,100,7.81,moderate rain
142,Weinan,CN,34.5036,109.5089,74.82,91,100,12.39,moderate rain
143,San Quintin,MX,30.4833,-115.95,73.74,66,3,13.6,clear sky
144,Laramie,US,41.3114,-105.5911,85.08,33,79,1.01,broken clouds
145,Innisfail,AU,-17.5333,146.0333,66.16,84,96,7.07,overcast clouds
146,Lavrentiya,RU,65.5833,-171.0,45.03,65,14,6.26,few clouds
147,Narsaq,GL,60.9167,-46.05,51.22,62,38,7.0,scattered clouds
148,Pensacola,US,30.4213,-87.2169,91.38,71,72,7.0,broken clouds
149,Ancud,CL,-41.8697,-73.8203,45.23,65,0,8.23,clear sky
150,Isangel,VU,-19.55,169.2667,71.51,73,100,18.43,overcast clouds
151,Shangzhi,CN,45.2167,127.9667,62.06,89,100,8.3,overcast clouds
152,Pisco,PE,-13.7,-76.2167,68.05,64,57,25.32,dust
153,Wasilla,US,61.5814,-149.4394,65.52,70,100,1.99,overcast clouds
154,Emba,KZ,48.8264,58.1442,79.88,34,0,11.59,clear sky
155,Khatanga,RU,71.9667,102.5,52.0,66,18,5.91,few clouds
156,Ponta Do Sol,PT,32.6667,-17.1,76.01,79,15,6.06,few clouds
157,Saint-Francois,FR,46.4154,3.9054,74.64,46,0,9.22,clear sky
158,Sulangan,PH,11.1373,123.7228,83.35,73,89,2.55,overcast clouds
159,Vanimo,PG,-2.6741,141.3028,76.06,90,97,5.12,overcast clouds
160,Erenhot,CN,43.6475,111.9767,74.8,43,100,10.69,overcast clouds
161,Shenjiamen,CN,29.9576,122.298,78.1,91,100,0.67,overcast clouds
162,Silver City,US,32.7701,-108.2803,92.91,23,40,6.91,scattered clouds
163,Clyde River,CA,70.4692,-68.5914,59.23,33,0,21.85,clear sky
164,Alofi,NU,-19.0595,-169.9187,76.89,73,99,10.36,overcast clouds
165,Rawson,AR,-43.3002,-65.1023,43.5,72,100,14.67,overcast clouds
166,Monte Carmelo,BR,-18.7247,-47.4986,77.54,34,27,5.77,scattered clouds
167,Atuona,PF,-9.8,-139.0333,76.66,74,1,12.62,clear sky
168,Novikovo,RU,51.1537,37.8879,68.63,71,58,5.66,light rain
169,Kamenka,RU,51.3223,42.7678,64.31,65,0,6.08,clear sky
170,Amapa,BR,1.0,-52.0,79.77,82,87,4.07,overcast clouds
171,Kimbe,PG,-5.5502,150.1429,75.06,93,79,6.22,light rain
172,Dogondoutchi,NE,13.6393,4.0287,97.61,34,100,3.11,overcast clouds
173,Ostrovnoy,RU,68.0531,39.5131,60.04,78,100,6.78,overcast clouds
174,Aklavik,CA,68.2191,-135.0107,53.6,62,75,3.44,broken clouds
175,Hithadhoo,MV,-0.6,73.0833,83.34,74,100,15.7,overcast clouds
176,Binga,ZW,-17.6203,27.3414,63.66,42,1,1.72,clear sky
177,Calama,CL,-22.4667,-68.9333,61.29,11,0,31.07,clear sky
178,Kendari,ID,-3.945,122.4989,72.14,95,73,1.7,broken clouds
179,Durusu,TR,41.3053,28.6767,74.84,76,0,7.0,clear sky
180,Inhambane,MZ,-23.865,35.3833,68.0,77,20,5.99,few clouds
181,Port Hardy,CA,50.6996,-127.4199,60.98,88,75,8.05,shower rain
182,Cocobeach,GA,1.0002,9.5823,76.6,79,100,8.14,overcast clouds
183,Carnarvon,AU,-24.8667,113.6333,64.6,67,0,13.0,clear sky
184,Salalah,OM,17.0151,54.0924,79.03,88,100,8.48,overcast clouds
185,Souillac,MU,-20.5167,57.5167,68.38,94,75,19.57,light rain
186,Samarai,PG,-10.6167,150.6667,76.24,74,97,15.64,overcast clouds
187,Kieta,PG,-6.2167,155.6333,77.54,77,73,4.29,broken clouds
188,Shanhetun,CN,44.7,127.2,62.17,87,20,10.74,few clouds
189,Iqaluit,CA,63.7506,-68.5145,69.53,43,75,25.32,broken clouds
190,Tura,IN,25.5198,90.2201,75.67,94,7,4.21,moderate rain
191,Dingle,PH,10.9995,122.6711,76.42,91,96,0.76,overcast clouds
192,Port Lincoln,AU,-34.7333,135.8667,54.64,44,100,23.91,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,54.03,95,68,10.42,broken clouds
194,Ulladulla,AU,-35.35,150.4667,42.53,79,75,5.99,broken clouds
195,Biritiba-Mirim,BR,-23.5698,-46.0407,80.38,47,96,5.08,overcast clouds
196,Shimoda,JP,34.6667,138.95,74.1,92,100,11.05,moderate rain
197,Mahebourg,MU,-20.4081,57.7,68.29,94,75,19.57,broken clouds
198,Kurtamysh,RU,54.9103,64.4319,66.22,94,100,10.27,overcast clouds
199,Tukums,LV,56.9669,23.1553,54.75,93,70,7.38,broken clouds
200,Nalut,LY,30.3333,10.85,86.43,16,0,5.28,clear sky
201,Mogadishu,SO,2.0371,45.3438,76.55,82,100,19.35,overcast clouds
202,Port Macquarie,AU,-31.4333,152.9167,39.88,79,85,4.85,overcast clouds
203,Shirak,AM,40.8404,43.9158,70.12,46,0,20.71,clear sky
204,Yuancheng,CN,36.652,107.7896,68.86,82,100,15.79,overcast clouds
205,Taksimo,RU,56.3444,114.8794,59.4,97,97,0.65,overcast clouds
206,Quelimane,MZ,-17.8786,36.8883,69.75,77,20,3.44,few clouds
207,Jumla,NP,29.2747,82.1838,62.55,88,77,0.13,broken clouds
208,Cumberland,US,35.0502,-78.8664,91.49,65,40,10.36,scattered clouds
209,Half Moon Bay,US,37.4636,-122.4286,82.06,68,75,13.8,broken clouds
210,Grand Gaube,MU,-20.0064,57.6608,68.4,86,87,4.0,light rain
211,Zasheyek,RU,67.4066,32.5499,56.95,85,100,4.32,overcast clouds
212,Jizan,SA,17.3333,42.6667,90.54,52,91,3.89,overcast clouds
213,Denpasar,ID,-8.65,115.2167,78.46,88,75,9.22,broken clouds
214,Acapulco,MX,16.8634,-99.8901,86.81,63,100,6.42,overcast clouds
215,Benguela,AO,-12.5763,13.4055,68.56,89,47,2.3,scattered clouds
216,Natal,BR,-5.795,-35.2094,80.82,74,75,14.97,broken clouds
217,Chegdomyn,RU,51.1167,133.0167,62.11,94,73,2.64,broken clouds
218,Chipinge,ZW,-20.1883,32.6236,51.58,52,0,4.76,clear sky
219,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,94,0,6.71,clear sky
220,Hofn,IS,64.2539,-15.2082,51.51,84,70,10.38,broken clouds
221,Yerbogachen,RU,61.2767,108.0108,58.03,72,100,0.43,overcast clouds
222,Banda Aceh,ID,5.5577,95.3222,79.95,78,100,10.76,overcast clouds
223,Vao,NC,-22.6667,167.4833,68.99,58,3,18.52,clear sky
224,Luderitz,NA,-26.6481,15.1594,71.19,30,0,4.72,clear sky
225,Broken Hill,AU,-31.95,141.4333,45.14,40,100,15.14,overcast clouds
226,Morogoro,TZ,-6.8167,37.6667,69.87,69,99,3.09,overcast clouds
227,Jardim,BR,-21.4803,-56.1381,89.51,28,83,11.16,broken clouds
228,Maniitsoq,GL,65.4167,-52.9,39.97,89,98,7.99,overcast clouds
229,Demba,CD,-5.51,22.2667,83.26,33,100,2.06,overcast clouds
230,Arraial Do Cabo,BR,-22.9661,-42.0278,72.82,80,51,29.46,broken clouds
231,Doka,SD,13.5167,35.7667,72.77,88,100,8.75,light rain
232,Tendukheda,IN,23.4,79.55,77.41,90,100,3.11,overcast clouds
233,Korla,CN,41.7597,86.1469,79.05,35,100,16.02,overcast clouds
234,Maragogi,BR,-9.0122,-35.2225,75.76,83,1,11.79,clear sky
235,Asau,RO,46.4333,26.4,67.12,87,23,1.88,few clouds
236,Chokurdakh,RU,70.6333,147.9167,52.25,72,37,16.87,scattered clouds
237,Nome,US,64.5011,-165.4064,56.16,67,64,7.54,broken clouds
238,Churapcha,RU,62.0025,132.4325,67.41,89,85,1.19,overcast clouds
239,Tokur,RU,53.1333,132.9,56.64,97,2,2.39,clear sky
240,Caravelas,BR,-17.7125,-39.2481,73.2,73,5,6.08,clear sky
241,Poum,NC,-20.2333,164.0167,71.64,58,0,24.43,clear sky
242,Sitka,US,57.0531,-135.33,57.49,95,99,5.28,light rain
243,Aanekoski,FI,62.6946,25.818,57.27,92,100,4.27,overcast clouds
244,Namanga,KE,-2.5433,36.7905,62.58,73,95,7.9,overcast clouds
245,Bintulu,MY,3.1667,113.0333,76.21,81,99,3.96,overcast clouds
246,Grand Forks,US,47.9417,-97.4337,83.79,60,67,2.89,broken clouds
247,Glendive,US,47.1053,-104.7125,93.76,39,100,5.99,overcast clouds
248,Hami,CN,42.8,93.45,77.86,11,19,11.88,few clouds
249,Tocopilla,CL,-22.092,-70.1979,60.01,56,1,5.91,clear sky
250,Lichuan,CN,30.3,108.85,67.41,96,100,2.59,overcast clouds
251,Maridi,SS,4.9158,29.4742,67.42,96,67,2.62,broken clouds
252,Pakxe,LA,15.1167,105.7833,75.02,97,14,3.33,few clouds
253,Airai,TL,-8.9266,125.4092,53.55,89,95,3.58,overcast clouds
254,Flin Flon,CA,54.7682,-101.865,84.69,27,95,9.6,overcast clouds
255,Gurupi,BR,-11.7292,-49.0686,92.88,23,1,7.25,clear sky
256,Kaseda,JP,31.4167,130.3167,80.71,89,81,12.91,broken clouds
257,San Lorenzo,PY,-25.3333,-57.5333,86.81,43,100,9.55,light rain
258,Saint-Augustin,CA,51.226,-58.6502,66.33,49,58,18.03,broken clouds
259,Kenai,US,60.5544,-151.2583,61.03,89,75,3.44,light rain
260,Itarema,BR,-2.9248,-39.9167,80.29,72,65,14.94,broken clouds
261,Puerto Escondido,MX,15.85,-97.0667,84.29,80,98,12.48,overcast clouds
262,Sarmas,RO,46.8833,25.4667,55.54,84,18,3.38,few clouds
263,Smithers,CA,54.7804,-127.1743,59.32,88,100,4.61,light intensity shower rain
264,Saint-Joseph,RE,-21.3667,55.6167,65.21,79,38,12.28,light rain
265,Oranjemund,NA,-28.55,16.4333,65.73,38,1,3.71,clear sky
266,Vereeniging,ZA,-26.6731,27.9261,50.92,33,0,3.89,clear sky
267,Hecun,CN,36.5333,114.1111,76.53,89,100,2.44,overcast clouds
268,Portland,US,45.5234,-122.6762,79.29,50,0,4.0,clear sky
269,Rajmahal,IN,25.05,87.8333,84.61,70,0,6.22,clear sky
270,Pontes E Lacerda,BR,-15.2261,-59.3353,93.63,26,89,9.06,overcast clouds
271,Ovre Ardal,NO,61.3167,7.8,49.08,82,86,5.75,overcast clouds
272,Aketi,CD,2.7388,23.7833,76.51,77,100,2.04,overcast clouds
273,Dyersburg,US,36.0345,-89.3856,95.29,29,48,2.08,scattered clouds
274,Surt,LY,31.2089,16.5887,78.13,57,0,8.68,clear sky
275,Barinas,VE,8.6226,-70.2075,89.64,51,28,4.61,scattered clouds
